iter	Passed	Remaining
0	0	77
1	1	93
2	3	99
3	4	96
4	5	98
5	6	94
6	7	93
7	7	90
8	8	88
9	9	86
10	10	85
11	11	83
12	12	81
13	13	81
14	14	80
15	15	79
16	15	77
17	16	76
18	17	74
19	18	73
20	18	71
21	19	69
22	20	67
23	20	65
24	21	64
25	22	63
26	22	61
27	23	60
28	24	59
29	24	57
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	28	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	46
41	33	46
42	34	45
43	35	44
44	35	43
45	36	43
46	37	42
47	38	41
48	39	40
49	39	39
50	40	38
51	41	38
52	41	37
53	42	36
54	43	35
55	44	34
56	45	34
57	46	33
58	46	32
59	47	31
60	48	31
61	49	30
62	49	29
63	50	28
64	51	27
65	52	26
66	53	26
67	53	25
68	54	24
69	55	23
70	55	22
71	56	21
72	57	21
73	58	20
74	58	19
75	59	18
76	60	18
77	61	17
78	61	16
79	62	15
80	63	14
81	64	14
82	64	13
83	65	12
84	66	11
85	66	10
86	67	10
87	68	9
88	69	8
89	69	7
90	70	6
91	70	6
92	71	5
93	72	4
94	72	3
95	73	3
96	74	2
97	75	1
98	76	0
99	77	0
